1,1,1.0,125
1,1,1.5,125
1,1,2.0,125
1,1,2.5,125
1,1,3.0,125
1,1,3.5,125
1,1,4.0,125
1,1,1.0,126
1,1,1.5,126
1,1,2.0,126
1,1,2.5,126
1,1,3.0,126
1,1,3.5,126
1,1,4.0,126
1,1,1.0,127
1,1,1.5,127
1,1,2.0,127
1,1,2.5,127
1,1,3.0,127
1,1,3.5,127
1,1,4.0,127
1,1,1.0,128
1,1,1.5,128
1,1,2.0,128
1,1,2.5,128
1,1,3.0,128
1,1,3.5,128
1,1,4.0,128
1,1,1.0,129
1,1,1.5,129
1,1,2.0,129
1,1,2.5,129
1,1,3.0,129
1,1,3.5,129
1,1,4.0,129
1,1,1.0,130
1,1,1.5,130
1,1,2.0,130
1,1,2.5,130
1,1,3.0,130
1,1,3.5,130
1,1,4.0,130
1,1,1.0,131
1,1,1.5,131
1,1,2.0,131
1,1,2.5,131
1,1,3.0,131
1,1,3.5,131
1,1,4.0,131
1,1,1.0,132
1,1,1.5,132
1,1,2.0,132
1,1,2.5,132
1,1,3.0,132
1,1,3.5,132
1,1,4.0,132
1,1,1.0,133
1,1,1.5,133
1,1,2.0,133
1,1,2.5,133
1,1,3.0,133
1,1,3.5,133
1,1,4.0,133
1,1,1.0,134
1,1,1.5,134
1,1,2.0,134
1,1,2.5,134
1,1,3.0,134
1,1,3.5,134
1,1,4.0,134
1,1,1.0,135
1,1,1.5,135
1,1,2.0,135
1,1,2.5,135
1,1,3.0,135
1,1,3.5,135
1,1,4.0,135
1,1,1.0,136
1,1,1.5,136
1,1,2.0,136
1,1,2.5,136
1,1,3.0,136
1,1,3.5,136
1,1,4.0,136
1,1,1.0,137
1,1,1.5,137
1,1,2.0,137
1,1,2.5,137
1,1,3.0,137
1,1,3.5,137
1,1,4.0,137
1,2,1.0,125
1,2,1.5,125
1,2,2.0,125
1,2,2.5,125
1,2,3.0,125
1,2,3.5,125
1,2,4.0,125
1,2,1.0,126
1,2,1.5,126
1,2,2.0,126
1,2,2.5,126
1,2,3.0,126
1,2,3.5,126
1,2,4.0,126
1,2,1.0,127
1,2,1.5,127
1,2,2.0,127
1,2,2.5,127
1,2,3.0,127
1,2,3.5,127
1,2,4.0,127
1,2,1.0,128
1,2,1.5,128
1,2,2.0,128
1,2,2.5,128
1,2,3.0,128
1,2,3.5,128
1,2,4.0,128
1,2,1.0,129
1,2,1.5,129
1,2,2.0,129
1,2,2.5,129
1,2,3.0,129
1,2,3.5,129
1,2,4.0,129
1,2,1.0,130
1,2,1.5,130
1,2,2.0,130
1,2,2.5,130
1,2,3.0,130
1,2,3.5,130
1,2,4.0,130
1,2,1.0,131
1,2,1.5,131
1,2,2.0,131
1,2,2.5,131
1,2,3.0,131
1,2,3.5,131
1,2,4.0,131
1,2,1.0,132
1,2,1.5,132
1,2,2.0,132
1,2,2.5,132
1,2,3.0,132
1,2,3.5,132
1,2,4.0,132
1,2,1.0,133
